Age,AnnualIncome,CreditScore,AccountTenure,MonthlyTxnCount,AvgTxnValue,MissedPayments,SupportCalls,OnlineUsageHours,HighRisk
59,1416383,667,16,82,36606,0,6,20,0
49,763506,346,7,179,57829,6,0,172,0
35,1129717,506,1,56,30617,10,8,148,1
63,715729,749,2,179,58088,4,3,170,0
28,1478342,782,9,203,40002,14,6,75,1
41,1051112,869,23,92,44179,8,8,138,0
59,2283805,442,18,175,56910,2,1,42,0
39,1279593,699,21,41,1369,10,7,86,1
43,554182,396,20,127,51111,0,10,164,0
31,1148494,346,18,205,7284,14,3,202,1
31,2840955,490,18,68,32732,6,3,115,0
44,2698002,439,10,192,20993,7,2,230,0
56,2505258,530,8,219,7542,10,9,182,1
60,2242532,639,21,247,39697,1,3,113,0
44,1146881,790,8,154,58514,14,8,95,1
23,1774255,348,2,128,1185,1,0,112,0
42,1552935,752,18,202,16257,8,8,93,0
22,2901160,615,11,40,38295,12,10,53,1
44,489258,621,11,282,47265,3,9,49,0
64,1915818,386,19,39,51626,0,8,54,0
50,1099574,773,11,117,46487,13,0,139,1
58,2969785,581,10,179,57246,8,8,178,0
22,1968828,373,8,37,58855,8,5,189,0
41,2864119,752,15,217,10076,14,7,26,1
53,1511147,346,8,207,21022,5,7,59,0
32,2887707,887,19,258,25986,5,7,121,0
42,2297951,395,1,60,50969,13,10,178,1
64,1566379,330,23,17,38732,8,7,142,0
45,1736201,833,20,54,32031,1,11,189,0
69,1779889,316,3,252,38383,8,0,185,0
47,738769,511,21,237,31840,12,0,99,1
62,487555,534,12,32,24293,3,6,22,0
48,2000830,691,16,108,17450,3,10,192,0
36,2944454,653,22,100,28993,12,11,171,1
35,608177,604,16,197,57547,8,11,64,1
67,1663559,898,17,129,10157,6,8,103,0
64,714111,849,16,85,12894,11,10,181,1
23,777158,864,9,11,46892,9,9,178,1
57,2988647,839,22,87,59051,11,7,11,1
27,2230594,888,19,28,56949,13,10,213,1
41,2384080,808,1,118,35733,4,4,193,0
29,1770497,694,18,19,53796,7,7,95,0
59,934158,730,6,117,31539,11,8,111,1
38,2892205,861,6,254,4848,12,6,22,1
24,2165425,476,12,149,4426,0,10,185,0
45,1005231,705,3,23,24443,6,9,125,0
34,1622771,600,11,13,28216,3,10,98,0
29,2951381,744,6,189,12205,12,2,177,1
46,1646053,426,14,42,48080,1,8,112,0
22,2679129,648,18,215,4510,1,4,197,0
40,1055434,320,16,138,52529,10,10,248,1
48,508697,719,24,106,1900,11,7,46,1
67,725403,451,13,153,39975,8,10,30,1
27,923486,459,1,97,26644,5,0,27,0
64,272908,779,6,294,30727,10,0,220,0
28,1841973,742,14,144,17624,3,2,86,0
67,2037986,395,17,299,55982,1,1,192,0
55,571087,651,13,266,58543,6,4,98,0
34,209422,374,13,85,17586,8,10,217,1
